name	tutorial1	tutorial2
chr1_6195904_6196592	2	2
chr1_6199355_6199985	6	9
chr1_6208681_6209593	3	3
chr1_6235405_6236315	9	2
chr1_6320486_6321069	1	1
chr1_6328291_6328838	2	2
chr1_6348381_6349075	2	2
chr1_6357956_6358571	2	2
chr1_6358791_6359745	2	2
chr1_6393251_6394072	5	4
chr1_6416241_6416778	2	3
chr1_6434892_6435553	2	1
chr1_6436735_6437282	2	2
chr1_6502226_6502768	8	2
chr1_6506578_6507618	2	3
chr1_6509930_6510432	2	5
chr1_6511945_6512739	2	2
chr1_6554292_6554867	3	2
chr1_6559313_6560256	2	2
chr1_6579674_6580294	3	10
chr1_6581812_6582391	8	4
chr1_6589009_6589566	4	7
chr1_6602779_6603312	9	2
chr1_6604114_6604688	2	2
chr1_6613221_6613817	13	7
chr1_6619618_6620178	2	2
chr1_6784324_6786260	1	2
chr1_6800044_6801595	2	2
chr1_6803407_6804135	2	2
chr1_6842023_6842548	4	2
chr1_6877726_6878713	2	2
chr1_6881071_6881648	2	2
chr1_6963281_6963908	2	2
chr1_7072086_7072954	2	2
chr1_7119976_7120511	2	2
chr1_7136231_7137227	2	4
chr1_7143916_7144515	2	2
chr1_7220797_7221337	1	2
chr1_7478790_7479869	3	5
chr1_7549595_7550258	2	3
chr1_7571159_7571912	3	2
chr1_7574947_7575809	2	2
chr1_7704489_7705156	4	2
chr1_7717485_7718309	1	2
chr1_7737937_7738517	2	2
chr1_7771303_7771829	5	4
chr1_7783247_7784294	16	3
chr1_7820017_7820828	2	2
chr1_7886380_7887227	2	1
chr1_7942124_7943030	2	2
chr1_7961255_7962456	1	2
chr1_8025937_8026576	1	2
chr1_8090076_8090897	4	2
chr1_8097110_8097742	2	2
chr1_8104417_8105076	4	2
chr1_8138080_8138759	2	2
chr1_8218645_8219234	2	4
chr1_8224784_8225443	4	5
chr1_8281820_8282522	2	2
chr1_8327955_8328633	2	2
chr1_8373838_8374502	2	2
chr1_8382580_8383128	2	2
chr1_8506721_8507540	2	2
chr1_8525694_8526244	2	12
chr1_8639850_8640366	2	1
chr1_8663866_8664408	2	2
chr1_8703172_8703699	4	6
chr1_8817347_8818010	3	2
chr1_8818317_8818820	3	2
chr1_8868545_8869213	2	2
chr1_8870984_8871612	2	2
chr1_8871854_8872428	2	2
chr1_8877851_8878354	4	3
chr1_8878641_8879195	7	7
chr1_8879309_8880672	1	2
chr1_8925342_8925855	4	2
chr1_9007595_9008179	2	2
chr1_9037679_9038989	2	2
chr1_9067123_9067634	4	3
chr1_9069491_9069994	4	2
chr1_9117006_9117596	2	5
chr1_9128161_9130085	2	2
chr1_9143267_9143811	2	4
chr1_9162765_9163278	6	5
chr1_9163589_9164273	5	4
chr1_9174172_9174706	2	2
chr1_9181141_9181658	2	1
chr1_9192734_9193304	2	2
chr1_9201202_9201985	2	2
chr1_9212954_9213629	2	2
chr1_9234503_9235177	4	2
chr1_9239466_9240135	2	2
chr1_9275105_9276028	2	6
chr1_9279387_9280974	5	3
chr1_9289960_9290555	2	7
chr1_9293952_9294709	2	2
chr1_9304223_9304894	2	2
chr1_9332241_9333532	2	2
chr1_9339722_9340236	2	1
chr1_9352030_9352708	2	2
chr1_9362453_9363576	2	2
chr1_9428808_9429369	2	2
chr1_9473032_9473630	2	2
chr1_9538950_9540476	1	4
chr1_9588422_9588937	6	4
chr1_9593305_9593867	2	2
chr1_9626930_9627676	2	4
chr1_9629695_9630274	2	6
chr1_9644417_9645083	2	5
chr1_9651534_9652278	3	6
chr1_9717167_9717700	1	1
chr1_9730389_9731441	1	6
chr1_9737062_9737602	2	10
chr1_9750258_9750964	2	2
chr1_9804884_9805634	2	1
chr1_9890201_9891114	2	3
chr1_9900261_9900851	2	2
chr1_9910215_9910763	18	13
chr1_9911830_9912668	2	2
chr1_9943142_9943721	4	1
chr1_10032418_10033152	8	2
chr1_10065135_10065662	2	6
chr1_10117606_10118167	2	2
chr1_10208582_10209170	2	1
chr1_10209659_10210785	13	5
chr1_10378249_10378802	10	4
chr1_10388074_10388765	2	2
chr1_10398544_10399069	17	19
chr1_10399096_10399875	1	2
chr1_10415196_10415738	6	10
chr1_10472198_10472866	4	2
chr1_10474605_10475308	3	6
chr1_10484464_10485168	6	2
chr1_10535834_10536655	1	1
chr1_10556631_10557175	2	2
chr1_10583575_10584116	2	2
chr1_10615198_10615764	2	2
chr1_10643977_10644653	1	2
chr1_10666681_10667290	2	2
chr1_10838339_10839093	2	2
chr1_10886664_10887459	2	2
chr1_10888821_10889508	2	2
chr1_10939254_10940934	2	1
chr1_10946658_10947350	2	2
chr1_11012049_11013079	4	2
chr1_11029857_11030479	2	2
chr1_11037558_11038080	2	4
chr1_11058726_11059490	4	1
chr1_11059776_11060385	6	7
chr1_11186148_11187111	2	2
chr1_11262455_11263063	10	10
chr1_11272617_11273468	2	2
chr1_11313864_11314835	2	2
chr1_11441746_11442726	3	2
chr1_11645625_11646351	2	2
chr1_11680468_11681488	3	3
chr1_11708527_11709218	4	2
chr1_11731702_11732229	2	2
chr1_11735792_11737113	2	2
chr1_11752594_11753180	2	2
chr1_11784877_11785608	2	2
chr1_11790764_11791303	4	4
chr1_11805741_11806337	4	3
chr1_11838363_11839129	2	2
chr1_11862784_11863721	2	2
chr1_11907631_11908687	9	6
chr1_11909445_11910180	6	2
chr1_11910562_11911110	4	2
chr1_11934371_11934935	5	3
chr1_11979913_11980952	2	6
chr1_12019164_12019676	8	4
chr1_12019804_12020670	2	2
chr1_12056470_12057143	2	2
chr1_12062880_12063844	2	3
chr1_12087987_12088545	2	2
chr1_12143142_12144754	2	3
chr1_12147082_12147687	4	2
chr1_12153061_12153715	4	6
chr1_12161619_12162176	10	1
chr1_12168105_12168883	3	4
chr1_12172585_12173499	2	2
chr1_12177586_12178600	2	6
chr1_12179023_12179541	2	3
chr1_12184113_12184625	10	6
chr1_12194352_12195156	4	2
chr1_12196563_12197113	2	4
chr1_12210715_12211497	2	2
chr1_12279983_12280818	2	2
chr1_12314725_12315583	2	2
chr1_12344378_12345018	4	4
chr1_12449316_12449946	2	2
chr1_12504258_12504953	2	2
chr1_12510286_12511008	2	5
chr1_12564988_12565969	2	2
chr1_12571959_12572887	2	2
chr1_12595918_12596457	4	7
chr1_12596483_12597024	4	1
chr1_12615578_12616081	3	6
chr1_12617707_12619814	1	2
chr1_12658788_12659358	2	2
chr1_12728063_12728905	2	2
chr1_12768662_12769218	4	2
chr1_12771179_12771893	2	2
chr1_13502463_13503117	2	2
chr1_13543820_13544444	2	2
chr1_13593701_13594266	5	6
chr1_13695318_13696315	2	2
chr1_13700411_13701374	2	1
chr1_13730672_13731662	2	2
chr1_13749114_13749992	8	4
chr1_13768546_13769264	1	2
chr1_13810602_13811140	2	2
chr1_14108788_14109475	2	2
chr1_14161233_14161985	2	2
chr1_14400963_14401728	2	2
chr1_14510814_14511695	2	2
chr1_14615436_14616047	2	2
chr1_14809626_14810283	2	2
chr1_14830146_14830825	2	2
chr1_14857027_14857804	2	2
chr1_14870995_14871588	2	4
chr1_14872683_14873291	2	2
chr1_14873555_14874092	4	3
chr1_14880019_14880793	2	2
chr1_15080717_15081409	2	4
chr1_15105451_15106241	2	2
chr1_15152159_15152737	2	2
chr1_15168364_15168901	2	4
chr1_15172259_15173065	2	1
chr1_15200474_15201176	4	2
chr1_15213194_15213735	4	4
chr1_15224078_15224649	4	4
chr1_15246852_15247473	2	2
chr1_15258730_15259312	4	2
chr1_15260892_15261745	9	7
chr1_15275900_15276416	3	3
chr1_15277158_15277935	2	2
chr1_15314203_15314774	2	2
chr1_15340044_15340717	2	2
chr1_15409446_15410123	4	3
chr1_15417336_15417904	2	2
chr1_15429745_15430293	4	2
chr1_15431532_15432061	2	2
chr1_15432444_15433344	2	2
chr1_15434622_15435243	2	2
chr1_15464279_15465183	2	3
chr1_15471717_15472449	4	1
chr1_15523690_15524837	11	4
chr1_15526535_15527328	4	3
chr1_15569045_15569764	2	1
chr1_15603089_15603839	2	1
chr1_15617073_15617653	7	5
chr1_15618255_15619171	2	2
chr1_15626236_15626800	2	2
chr1_15673340_15673986	2	2
chr1_15678512_15679036	6	2
chr1_15765191_15765907	2	2
chr1_15780508_15781171	2	4
chr1_15788550_15789062	4	2
chr1_15803293_15803836	2	4
chr1_15834403_15835249	2	6
chr1_15836888_15837914	1	3
chr1_15847290_15847909	4	5
chr1_15849723_15850298	2	2
chr1_15885984_15887346	2	2
chr1_15957932_15958498	2	2
chr1_15975397_15976468	4	4
chr1_15986615_15987158	2	2
chr1_15994452_15995200	2	2
chr1_16055768_16056668	2	2
chr1_16067361_16068059	2	2
chr1_16172992_16173502	2	2
chr1_16206465_16207176	2	10
chr1_16217298_16217824	2	6
chr1_16261105_16261845	2	2
chr1_16348743_16349302	3	2
chr1_16352356_16352906	4	2
chr1_16366876_16368180	2	2
chr1_16371467_16372142	2	2
chr1_16396842_16397439	2	8
chr1_16443785_16444390	2	2
chr1_16513567_16514141	9	2
chr1_16514298_16514847	2	2
chr1_16613107_16614082	6	2
chr1_16617982_16618717	2	2
chr1_16619666_16620307	2	2
chr1_16620954_16621482	4	6
chr1_16644199_16645036	6	4
chr1_16719033_16719873	2	1
chr1_16727116_16727732	2	2
chr1_16889191_16889924	2	2
chr1_16895912_16896993	7	2
chr1_16904612_16905364	6	10
chr1_16913759_16914615	2	3
chr1_16931474_16932023	2	2
chr1_16954130_16954672	2	1
chr1_16960623_16961188	3	2
chr1_16989785_16990343	2	2
chr1_16993602_16994423	2	2
chr1_17007192_17008441	1	1
chr1_17010198_17010715	2	2
chr1_17011718_17012293	2	2
chr1_17045108_17045662	4	6
chr1_17045786_17046606	2	2
chr1_17053849_17054545	10	4
chr1_17074930_17075842	2	4
chr1_17235605_17236167	2	2
chr1_17367361_17368075	2	1
chr1_17371884_17372891	2	1
chr1_17405823_17406454	2	2
chr1_17411700_17412330	2	2
chr1_17431306_17432035	2	2
chr1_17432058_17432644	2	2
chr1_17437504_17438375	2	1
chr1_17536162_17536799	2	2
chr1_17540789_17541295	2	2
chr1_17602470_17603019	2	2
chr1_17603208_17604044	2	2
chr1_17615080_17615651	2	2
chr1_17622004_17622643	2	2
chr1_17624281_17625012	4	4
chr1_17629909_17631397	6	2
chr1_17634277_17635080	2	2
chr1_17671803_17672753	2	1
chr1_17674724_17675906	3	1
chr1_17678813_17679736	2	1
chr1_17706449_17707373	2	2
chr1_17732177_17732908	2	2
chr1_17735508_17736193	2	2
chr1_17767631_17768213	2	2
chr1_17855500_17856404	2	2
chr1_17893403_17893946	2	2
chr1_17932639_17933339	2	2
chr1_18027138_18027692	2	1
chr1_18160374_18161031	2	2
chr1_18185373_18185978	2	4
chr1_75723750_75724972	8	7
chr1_75785923_75786537	4	11
chr1_76052921_76053628	2	2
chr1_76073984_76074862	6	2
chr1_76075423_76076424	4	3
chr1_76153994_76154550	2	4
chr1_76229130_76229955	1	2
chr1_76328206_76328876	2	2
chr1_76445625_76446584	2	2
chr1_76488906_76489423	2	2
chr1_76501128_76502027	2	2
chr1_76725121_76725981	3	2
chr1_76840909_76841800	2	1
chr1_76906192_76907120	2	1
chr1_77533593_77534889	1	2
chr1_77682223_77683372	2	1
chr1_77758991_77759577	1	4
chr1_78004628_78005132	6	2
chr1_78613234_78613890	3	1
chr1_78832132_78832707	2	2
chr1_78954826_78955559	2	2
chr1_79261553_79262223	1	2
chr1_79479866_79480708	2	2
chr1_79647173_79647742	2	2
chr1_80218044_80218588	4	2
chr1_80925094_80925604	2	2
chr1_81198568_81199097	2	2
chr1_81208359_81208949	2	2
chr1_81591184_81591974	2	2
chr1_81651543_81652406	2	2
chr1_81819625_81820354	2	2
chr1_82159876_82160419	4	4
chr1_82220382_82221302	2	2
chr1_82466618_82467446	1	2
chr1_82593178_82594140	2	2
chr1_82595308_82595976	2	2
chr1_82598362_82598970	1	1
chr1_82798900_82799773	2	2
chr1_82839041_82840382	2	2
chr1_82929860_82930411	2	2
chr1_83998619_83999536	4	2
chr1_84103331_84103882	2	2
chr1_84159410_84159970	2	4
chr1_84360263_84361152	2	2
chr1_84373930_84374435	2	2
chr1_84430445_84431032	8	4
chr1_84437131_84437672	2	6
chr1_84442224_84442750	2	4
chr1_84478983_84479515	2	2
chr1_84492708_84493685	2	2
chr1_84499807_84500376	2	2
chr1_84506252_84506916	6	20
chr1_84619156_84619838	2	2
chr1_84620429_84621130	6	2
chr1_84839954_84840576	2	2
chr1_84854150_84854682	10	6
chr1_84855715_84856383	2	2
chr1_85047454_85048728	2	1
chr1_85058000_85058663	2	2
chr1_85062031_85062584	3	2
chr1_85200334_85201618	3	1
chr1_85259438_85259974	4	2
chr1_85276384_85276896	16	10
chr1_85278828_85279416	16	4
chr1_85680026_85681198	1	2
chr1_85837763_85838656	2	2
chr1_86014435_86015005	2	2
chr1_86100821_86101740	2	2
chr1_86171063_86171741	2	2
chr1_86396084_86396592	4	4
chr1_86591531_86592196	2	2
chr1_86704259_86705052	18	1
chr1_86774197_86774731	8	4
chr1_86787547_86788779	5	1
chr1_86866613_86867275	2	2
chr1_86913337_86914638	13	4
chr1_86957196_86957755	2	2
chr1_86981303_86982118	2	2
chr1_87144114_87144728	1	2
chr1_87154252_87154897	2	2
chr1_87328134_87328672	12	4
chr1_87331651_87332290	2	2
chr1_87396090_87396606	2	2
chr1_87785329_87785838	6	2
chr1_87869545_87870135	10	2
chr1_88086286_88086801	2	2
chr1_88101368_88101913	2	2
chr1_88329437_88329975	2	2
chr1_88352376_88353349	1	2
chr1_88375423_88376278	2	2
chr1_88455339_88456176	2	1
chr1_88623491_88624097	2	2
chr1_88658209_88658806	2	2
chr1_88683420_88684492	16	4
chr1_88891246_88891926	4	2
chr1_88902946_88903656	2	2
chr1_88972320_88973022	2	2
chr1_88992590_88993096	31	6
chr1_88998626_88999214	2	2
chr1_89022973_89023658	2	2
chr1_89088846_89089755	2	2
chr1_89283125_89284084	2	2
chr1_89429080_89429622	4	2
chr1_89488957_89489495	2	2
chr1_89545396_89546036	4	2
chr1_89605612_89606188	2	3
chr1_89615831_89616387	4	2
chr1_89655611_89656277	1	2
chr1_89706492_89707305	5	1
chr1_89721293_89721794	4	2
chr1_89738865_89739582	4	2
chr1_89820557_89821164	16	2
chr1_89908569_89909085	6	2
chr1_89994800_89995836	5	4
chr1_90157782_90158404	2	2
chr1_90158746_90159415	2	2
chr1_90172675_90173286	2	2
chr1_90365968_90366714	2	2
chr1_90537090_90538411	2	2
chr1_90726339_90727114	2	2
chr1_90730554_90731076	2	2
chr1_91022020_91022548	18	5
chr1_91030902_91031448	1	2
chr1_91044582_91045238	2	2
chr1_91500910_91501483	11	3
chr1_91767069_91768034	1	2
chr1_91804076_91804998	1	2
chr1_92080101_92080812	6	2
chr1_92096267_92096784	4	4
chr1_92194397_92195433	2	2
chr1_92298562_92299099	10	5
chr1_92401602_92402415	2	2
chr1_92459986_92460492	6	4
chr1_92531027_92531663	2	2
chr1_92588671_92589326	2	2
chr1_92759389_92760192	2	2
chr1_92784889_92785498	3	5
chr1_92831817_92832328	8	2
chr1_92950892_92951536	6	2
chr1_92960368_92960980	2	2
chr1_93078872_93079448	7	2
chr1_93141826_93142336	2	2
chr1_93180314_93180838	12	4
chr1_93549626_93550243	1	2
chr1_93617194_93617736	2	2
chr1_93710726_93711478	2	2
chr1_93846097_93846716	6	6
chr1_93909338_93909914	6	2
chr1_94045430_94045940	2	2
chr1_94245514_94246094	2	2
chr1_94274747_94275686	2	2
chr1_94713489_94714065	6	2
chr1_94720355_94721046	8	4
chr1_94739512_94740342	2	2
chr1_95084751_95085545	2	2
chr1_95102048_95102909	1	1
chr1_95121140_95121944	1	2
chr1_95233773_95234322	5	1
chr1_95475432_95476394	2	2
chr1_95589216_95590123	2	2
chr1_95743327_95743841	2	2
chr1_96362666_96363179	6	4
chr1_96560081_96560675	6	2
chr1_96845300_96845889	2	2
chr1_97050401_97051118	2	2
chr1_97138090_97138708	2	2
chr1_97489885_97490821	2	2
chr1_97508129_97508876	2	2
chr1_97724072_97725330	2	2
chr1_97806138_97806942	2	4
chr1_97904467_97904984	2	2
chr1_97920728_97921258	11	1
chr1_98054072_98054576	2	2
chr1_98181751_98182457	2	2
chr1_98387903_98388662	2	2
chr1_98529604_98530597	2	2
chr1_98597720_98598435	2	1
chr1_98660882_98661597	2	3
chr1_99322874_99323467	2	2
chr1_99772457_99773154	2	2
chr1_99849853_99850469	5	4
chr1_100069952_100070591	2	2
chr1_100079685_100080719	2	2
chr1_100086787_100087317	2	2
chr1_100169690_100170224	2	2
chr1_100249655_100250174	6	6
chr1_100265875_100266733	3	2
chr1_100351218_100352267	2	1
chr1_100364918_100365663	2	1
chr1_100400200_100400735	4	2
chr1_100421015_100421765	2	2
chr1_100463576_100464458	2	2
chr1_100483312_100484692	1	2
chr1_100581061_100582035	2	2
chr1_100631015_100631611	6	2
chr1_100882513_100883157	2	2
chr1_100895659_100896341	12	4
chr1_100915277_100915997	1	2
chr1_101025857_101026613	7	2
chr1_101728324_101728970	2	1
chr1_102018432_102018968	2	2
chr1_102335518_102336242	2	2
chr1_102407351_102408105	1	2
chr1_102421367_102422090	2	2
chr1_102535508_102536076	2	2
chr1_102593722_102594465	2	2
chr1_102667870_102668692	2	2
chr1_102919991_102920538	2	2
chr1_103464228_103465028	3	2
chr1_103538454_103539499	1	2
chr1_105841040_105841703	2	1
chr1_106025215_106026064	2	1
chr1_106206911_106207638	2	2
chr1_106268515_106269356	2	2
chr1_106595360_106596304	2	2
chr1_107022186_107022701	2	2
chr1_107173863_107174556	2	2
chr1_107242924_107243878	2	2
chr1_107307785_107308775	2	1
chr1_107467224_107467850	2	2
chr1_107573065_107573886	2	2
chr1_107588234_107588775	2	2
chr1_107861991_107862516	2	2
chr1_108057359_108058289	4	2
chr1_108067836_108068547	2	2
chr1_108141587_108142150	4	6
chr1_108152644_108153170	12	4
chr1_108182728_108183436	2	2
chr1_108199689_108200566	9	2
chr1_108557155_108557686	4	2
chr1_108646677_108647256	8	4
chr1_108660924_108661677	8	3
chr1_108691986_108692542	12	2
chr1_108747191_108748097	3	2
chr1_108876594_108877280	8	2
chr1_109075756_109076279	4	2
chr1_109090616_109091384	3	2
chr1_109213368_109214041	2	2
chr1_109283006_109283578	5	2
chr1_109370604_109371218	2	2
chr1_109392025_109392576	2	2
chr1_109493692_109494284	3	1
chr1_109620713_109621264	4	1
chr1_109622727_109623242	6	2
chr1_109667728_109668513	2	2
chr1_109817530_109818244	2	2
chr1_109821038_109821595	14	2
chr1_109833894_109834446	1	2
chr1_109886703_109887324	6	2
chr1_109910565_109911372	2	2
chr1_109947226_109948188	2	2
chr1_109984454_109985323	8	1
chr1_110011292_110011988	4	2
chr1_110034244_110034746	6	2
chr1_110050446_110051340	2	2
chr1_110053751_110054270	2	2
chr1_110293383_110294096	2	2
chr1_110421070_110421620	5	2
chr1_110502071_110502846	2	1
chr1_110507631_110508530	2	7
chr1_110514991_110515639	4	2
chr1_110560905_110561730	2	2
chr1_110619207_110620061	2	1
chr1_110627707_110628337	4	4
chr1_110707229_110707818	2	2
chr1_110832942_110833481	2	2
chr1_110879115_110879668	2	2
chr1_111139980_111140622	3	2
chr1_111190386_111191269	2	2
chr1_111197496_111198109	4	2
chr1_111216271_111217175	2	2
chr1_111219237_111220221	3	2
chr1_111228386_111228889	2	2
chr1_111449074_111449621	8	4
chr1_111467937_111468561	4	2
chr1_111471098_111471698	4	2
chr1_111489615_111490201	6	2
chr1_111507493_111508018	10	5
chr1_111570651_111571485	5	2
chr1_111605559_111606194	2	2
chr1_111618702_111619650	2	2
chr1_111733910_111734462	4	2
chr1_111755300_111756026	1	2
chr1_111938286_111939022	2	2
chr1_112304479_112305047	2	2
chr1_112394032_112394725	16	2
chr1_112466052_112466580	8	2
chr1_112501902_112502493	2	2
chr1_112508501_112509196	2	2
chr1_112601343_112602111	2	2
chr1_112619535_112620083	3	3
chr1_112700725_112701239	2	2
chr1_112704233_112705273	8	2
chr1_112707124_112707678	7	2
chr1_112720766_112721273	2	2
chr1_112743964_112744788	2	2
chr1_112840370_112840953	2	2
chr1_112881611_112882113	2	2
chr1_112955922_112956554	10	3
chr1_113389940_113390459	16	4
chr1_113758931_113759827	4	1
chr1_113786102_113786993	2	2
chr1_113804685_113805234	4	2
chr1_113855226_113856220	2	2
chr1_113871464_113871981	4	2
chr1_113899321_113900078	1	2
chr1_113929210_113929775	8	3
chr1_114109897_114110438	2	4
chr1_114130828_114131656	2	1
chr1_114152466_114153115	2	2
chr1_114174385_114174925	2	2
chr1_114216282_114216822	2	2
chr1_114234724_114235314	2	2
chr1_114346435_114346956	8	4
chr1_114510253_114511617	4	4
chr1_114716486_114717094	6	3
chr1_114757323_114757839	6	2
chr1_115036016_115036645	3	2
chr1_115051787_115052394	2	2
chr1_115098915_115099775	3	3
chr1_115494364_115494970	2	2
chr1_115727798_115728457	9	4
chr1_115771736_115772292	2	2
chr1_115976004_115976550	2	2
chr1_116060240_116060815	2	2
chr1_116131507_116132400	2	2
chr1_116254907_116255572	2	2
chr1_116372956_116374428	7	2
chr1_116377702_116378541	3	2
chr1_116497570_116498166	6	4
chr1_116503419_116503954	3	2
chr1_116532934_116533550	4	2
chr1_116533728_116534508	2	2
chr1_116540033_116540599	2	4
chr1_116553277_116553895	2	1
chr1_116570167_116571090	10	2
chr1_116847639_116848323	2	2
chr1_116909664_116910219	2	2
chr1_116990815_116991629	2	2
chr1_117009025_117009709	2	2
chr1_117121547_117122501	11	2
chr1_117202668_117203614	2	2
chr1_117329914_117330597	2	2
chr1_117366611_117368037	1	4
chr1_117394856_117395784	2	2
chr1_117753941_117754554	4	2
chr1_117928682_117929904	7	2
chr1_118039036_118039582	7	2
chr1_118136322_118136922	2	5
chr1_118341574_118342300	2	2
chr1_118750966_118751796	1	2
chr1_118775949_118776615	2	2
chr1_118867047_118867768	2	2
chr1_119078238_119078835	2	2
chr1_119140261_119140805	16	5
chr1_119272955_119273920	2	2
chr1_119284286_119285117	2	2
chr1_119345579_119346539	2	2
chr1_119616679_119617221	2	2
chr1_119647902_119648553	4	2
chr1_119691012_119691988	2	2
chr1_119711683_119712423	2	2
chr1_119948626_119949136	2	2
chr1_121511138_121511716	2	2
chr1_121516391_121517462	2	6
chr1_145607677_145608209	6	4
chr1_145844134_145845512	1	2
chr1_145858816_145859330	4	2
chr1_145871817_145872550	3	2
chr1_145885579_145886130	4	4
chr1_145918448_145919328	4	2
chr1_145960097_145960731	2	2
chr1_145978861_145979823	14	2
chr1_145996436_145996942	10	4
chr1_147072532_147073213	2	2
chr1_147172397_147172899	7	6
chr1_147242579_147243287	6	3
chr1_147800670_147801604	2	2
chr1_147811548_147812198	2	2
chr1_147870285_147870855	2	2
chr1_147907804_147908730	2	2
chr1_149885503_149886073	10	2
chr1_149887868_149888703	4	7
chr1_149961907_149962455	2	1
chr1_150067019_150067629	2	2
chr1_150110305_150111105	2	2
chr1_150120949_150121466	1	2
chr1_150149655_150150756	1	2
chr1_150160334_150160943	3	4
chr1_150163134_150163658	19	4
chr1_150268799_150269636	3	2
chr1_150321302_150322161	2	2
